DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Mysuru,545,Mysuru City,25,42,3,0,50,0,128,9,4,95,117,583,0,68,4,283,4,2,11,20,6,125,4,29,0,105,0,1,4,0,612,0,1,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Mysuru,545,Mysuru District,60,52,4,0,45,0,59,10,1,27,189,427,0,210,2,89,15,1,14,32,5,187,3,72,0,357,0,0,0,0,882,1,0,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Raichur,546,Raichur,49,50,0,2,46,0,49,6,0,20,142,166,0,291,6,103,7,0,9,44,9,218,5,117,0,273,0,0,3,0,522,5,0,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Bengaluru Urban,525,K.Railways,15,5,2,0,2,0,4,1,8,96,7,1180,0,1,0,6,0,6,0,6,0,5,0,0,0,11,0,0,0,0,5,0,1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Ramanagara,631,Ramanagara,70,61,2,0,30,0,107,14,26,54,223,439,0,234,3,153,16,1,13,42,9,174,15,63,0,428,0,0,0,0,1433,0,0,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Shivamogga,547,Shimoga,43,124,5,0,103,0,75,9,20,53,281,304,0,276,4,194,7,0,24,58,11,378,4,186,0,315,1,0,12,0,1625,1,0,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Karnataka,29,Tumakuru,548,Tumakuru,69,76,2,0,48,0,88,11,16,46,144,274,0,147,10,149,13,0,14,35,22,76,3,68,0,642,0,0,12,0,1531,2,0,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,state_name,state_code,district_name,district_code,registration_circles,murder,clpbl_hmcrd_not_amt_murder,hit_and_run,acdnt_other_than_hit_and_run_,deaths_negl_rel_rail_acdnt,deaths_due_med_negnc,deaths_neg_civic_bodies,deaths_other_negnc,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_clpb_hmcrd,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_simple_hurt,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,other_simple_hurt,vlntrly_caus_grvus_hurt,grvus_hrt_dangerous_wepn,acid_attack,atmpt_acid_attack,grvus_hrt_pub_srvnt_duty,grvus_hrt_lf_safety,other_grievous_hurt,wrngful_rest_cnfm,assault_on_women,sex_hrrsmt_work_office_prms,sex_hrrsmt_pub_trnsprt_sys,sex_hrrsmt_shelter_homes,sex_hrrsmt_other_places,intnt_disrbe,voyeurism,stalking,missing_child_kidnpd,other_kidnp_abduc,kidnp_abdctn_begging,kidnp_abdctn_murder,kidnapping_for_ransom,kidnp_abdctn_marrg,proc_minor_girls,import_girls_frgn_cntry,other_kidnp_abduc_sec_365_369,human_trafficking,exp_traf_person,sell_minors_prost,buy_minors_prost,rape,atmpt_rape,unnatural_offences,ofnc_agnst_state_sedition,ofnc_agnst_state_other,ofnc_agnst_pub_trnqul,rioting_communal_religious,rioting_sectarian,rioting_industrial,rioting_political,rioting_caste_conflict,rioting_agrarian,rioting_students,rioting_vigilants,rioting_money_dispute,rioting_water_dispute,rioting_land_property_dispute,rioting_family_disputes,rioting_enmity_rivalry,riot_elec_pwr_disp,riot_andolan_morcha,riot_polc_prsnl_gvt_srvnt,other_rioting,prmt_enmty_grps,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,other_thefts,day_time_burglary,night_burglary,extortion_and_blackmailing,robbery,atmpt_dacoity_robbery,dacoity,dacoity_with_murder,mkng_prprtn_assmbly_cmmttng_dcty,criminal_misappropriation,criminal_breach_of_trust,dsh_hon_rec_deal_stl_prop,counterfeit_coin,cntrfte_govt_stamp,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,other_frauds,cheating,forgery,ofnc_elections,disbnc_ordr_prmlgtd_pblc_srvnt,harboring_offender,sale_food_drugs,rash_driving_pub_way,csng_hrt_rsh_nglgnt_drvng_pblc_wy,grvus_hrt_rsh_nglgnt_drvng,obstruction_pub_way,sale_obscene_books_objects,obscene_acts_songs_public_places,ofnc_religion,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,crcl_false_fake_news_rumours,criminal_intimidation,insult_modesty_women,other_ipc_crimes,
2017,Karnataka,29,Vijayapura,530,Vijayapura,82,0,10,336,0,0,0,11,1,4,86,2,0,8,0,271,0,20,0,52,0,0,0,34,13,0,4,108,0,0,0,12,3,0,2,27,1,0,0,1,1,0,0,24,0,0,0,0,24,1,0,0,0,0,0,0,0,10,10,10,0,0,5,4,95,0,60,0,0,0,82,1,0,7,130,97,19,109,1,56,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,90,4,0,0,0,0,0,0,694,24,0,0,20,0,8,8,29,105,0,24,0,22,
2017,Karnataka,29,Chikkaballapura,630,Chikkaballapura,26,1,24,210,0,0,0,2,10,8,22,0,2,13,0,344,34,0,0,0,16,0,0,0,39,0,9,32,0,0,0,6,13,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,120,0,0,0,7,1,0,8,73,94,8,81,2,15,1,4,0,5,0,8,0,0,0,0,2,0,0,0,0,81,17,0,0,0,0,0,350,84,0,0,0,2,0,18,7,24,21,0,42,0,22,
2017,Karnataka,29,Chamarajanagara,531,Chamarajnagar,16,1,5,152,0,0,0,0,2,5,47,1,0,3,63,314,27,0,0,0,6,0,1,0,23,0,0,33,0,0,0,0,102,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,10,0,0,0,0,10,4,60,8,12,0,0,0,0,0,0,9,50,38,11,46,2,13,0,2,0,0,0,0,0,0,0,0,0,4,3,0,14,19,2,15,2,0,0,28,365,33,0,0,0,14,0,5,7,11,24,0,7,0,20,
2017,Karnataka,29,Chikkamagaluru,532,Chikkamagaluru,15,4,21,164,0,1,1,0,6,5,50,0,1,13,91,366,48,6,0,2,19,0,0,0,17,0,12,120,3,0,0,30,81,0,10,8,29,0,0,1,0,4,0,1,0,0,0,0,11,0,0,0,3,0,3,3,0,3,0,0,2,0,3,1,37,6,11,0,0,0,33,0,0,15,60,113,40,71,0,22,0,9,0,0,0,8,0,0,0,0,1,1,0,1,9,70,16,1,3,0,0,83,307,410,1,0,0,9,0,8,11,48,50,0,53,3,19,
2017,Karnataka,29,Chitradurga,533,Chitradurga,16,1,9,323,0,0,0,6,4,3,46,0,4,3,180,294,38,28,0,0,16,0,0,0,0,0,10,157,0,8,0,0,44,3,1,0,91,0,0,0,0,14,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,1,0,65,0,0,15,12,30,24,19,0,0,0,0,1,0,4,73,109,18,110,0,23,0,2,0,1,0,8,0,0,0,0,2,0,0,2,0,67,6,0,4,0,0,133,651,453,15,0,0,1,0,17,13,35,48,1,33,1,17,
2017,Karnataka,29,Dakshina Kannada,534,Dakshina Kannada,17,0,0,157,0,1,0,4,0,5,37,0,0,5,0,175,31,0,0,0,13,0,0,0,0,0,1,27,0,0,0,12,5,2,5,19,4,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,23,0,67,0,0,0,0,8,0,6,45,79,16,81,4,20,0,6,0,2,0,9,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,73,576,132,0,0,0,6,0,17,4,10,22,0,98,3,34,
2017,Karnataka,29,Davangere,535,Davanagere,33,1,29,228,0,0,0,15,5,17,51,0,3,14,124,301,38,0,37,5,43,0,0,14,2,0,16,111,0,0,0,9,75,0,0,63,17,0,0,0,2,0,0,4,0,0,0,0,13,1,0,0,3,0,13,0,0,1,1,0,0,0,0,0,13,0,0,0,0,0,215,0,0,8,196,121,13,138,1,41,0,8,0,6,1,9,0,0,0,0,0,2,0,0,13,107,15,0,3,0,0,126,334,435,6,0,3,8,0,9,10,46,51,0,35,2,13,
2017,Karnataka,29,Dharwad,536,Dharwad,30,0,28,135,0,0,0,2,2,2,25,0,0,2,52,28,11,0,0,0,16,0,0,4,3,0,0,37,0,0,0,5,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,13,3,29,0,0,0,21,0,0,6,31,54,8,30,0,6,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,54,1,0,0,0,1,52,40,202,0,0,0,8,0,5,7,8,19,0,14,0,4,
2017,Karnataka,29,Gadag,537,Gadag,20,0,4,140,0,0,0,7,0,5,32,0,1,3,0,73,17,0,0,3,27,0,0,0,10,0,0,53,0,0,0,7,4,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,2,0,0,1,0,4,0,0,0,0,14,4,20,0,0,0,39,0,0,2,40,336,12,66,0,10,1,7,0,4,0,11,0,0,0,0,0,0,0,0,0,55,3,0,0,0,0,14,10,181,9,0,0,3,0,3,4,6,28,0,11,0,1,
2017,Karnataka,29,Kalaburagi,538,Kalaburgi,70,3,38,289,0,2,0,9,7,9,119,1,3,10,176,353,0,0,3,9,60,0,0,63,76,0,14,71,0,0,0,51,6,0,0,32,19,0,0,0,6,4,0,3,0,0,0,0,16,0,0,0,0,14,0,0,1,6,0,0,0,0,0,0,20,0,20,0,0,5,262,0,0,14,147,119,21,125,2,39,2,3,0,22,3,4,0,0,0,0,0,0,0,0,0,98,18,0,3,0,0,94,205,681,17,0,0,23,0,14,10,40,105,0,61,35,77,
2017,Karnataka,29,Hassan,539,Hassan,50,3,29,381,0,0,0,8,9,2,146,0,11,11,0,942,0,0,0,0,54,1,0,72,16,0,12,174,0,23,0,0,36,0,2,51,25,0,0,0,4,0,0,0,1,0,0,0,18,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,42,12,107,0,0,0,0,1,0,10,152,126,47,204,0,51,1,2,0,2,0,4,0,0,0,0,1,0,0,0,0,119,1,0,2,0,0,154,1239,346,0,0,0,10,0,7,28,55,57,0,114,4,22,
2017,Karnataka,29,Haveri,540,Haveri,25,3,8,200,0,0,0,0,8,9,65,0,11,6,0,188,35,0,0,0,30,0,0,0,18,0,0,112,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,109,0,40,0,0,0,80,0,0,7,60,251,16,82,2,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,51,16,0,3,0,0,51,197,330,0,1,0,11,0,4,3,12,39,0,9,0,6,
2017,Karnataka,29,Dharwad,536,Hubballi Dharwad City,20,0,12,75,0,0,0,14,2,6,52,0,4,6,49,101,10,2,0,5,22,0,0,6,4,0,5,28,1,2,0,0,6,1,2,36,16,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,0,3,0,4,0,11,2,38,0,0,0,13,2,0,4,257,143,25,124,2,96,0,5,0,5,0,12,0,0,0,0,0,11,0,0,0,128,13,0,0,0,0,52,73,182,1,1,0,1,0,5,13,15,48,0,23,1,3,
2017,Karnataka,29,Belagavi,527,K.G.F.,8,0,24,27,0,1,1,2,5,1,11,0,3,2,5,93,7,1,0,5,16,0,0,0,0,0,0,14,0,0,0,3,5,0,0,15,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,8,0,0,0,1,1,0,2,15,15,8,35,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,7,0,0,0,0,4,25,69,0,0,0,1,0,0,3,2,5,0,19,1,3,
2017,Karnataka,29,Kodagu,541,Kodagu,27,2,0,86,0,0,0,3,1,4,66,0,0,2,405,0,0,0,0,21,0,0,0,19,6,0,0,37,0,0,0,0,0,0,0,14,0,0,0,4,2,2,0,32,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,12,0,0,9,37,179,17,80,0,5,2,3,0,2,0,8,0,0,0,0,0,0,0,0,0,52,2,0,2,0,0,518,0,0,2,0,0,7,0,13,5,44,22,0,47,1,18,
2017,Karnataka,29,Kolar,542,Kolar,38,0,24,217,0,0,0,0,7,1,39,0,2,6,29,258,23,0,0,0,10,0,0,0,0,0,7,38,0,0,0,7,19,0,0,37,4,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1,1,1,0,10,15,59,12,16,0,0,0,58,3,0,2,104,40,8,62,0,31,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,78,3,0,0,0,0,54,148,265,10,0,0,5,0,14,8,28,23,0,40,0,10,
2017,Karnataka,29,Koppal,543,Koppal,15,0,1,192,0,0,0,5,3,17,37,0,0,2,35,94,28,0,0,0,27,0,0,0,0,0,0,63,0,0,0,14,7,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,48,0,8,0,0,0,79,3,0,9,71,165,14,61,0,14,0,6,0,1,1,11,0,0,0,0,1,0,0,0,0,73,9,0,1,0,1,53,67,312,0,0,0,4,0,0,2,0,49,2,41,1,150,
2017,Karnataka,29,Mandya,544,Mandya,44,1,37,414,0,0,0,2,5,7,123,0,13,2,479,371,0,0,0,0,28,0,1,88,15,0,92,166,3,0,0,131,0,0,62,61,17,0,0,0,15,0,0,0,0,3,0,0,13,1,0,0,1,0,0,0,0,3,2,1,0,0,16,0,41,0,13,0,0,0,16,1,0,25,283,239,35,208,4,54,0,12,0,7,0,14,0,0,0,0,0,0,13,0,29,102,8,1,0,0,0,0,1701,28,4,0,0,3,0,30,19,72,69,0,95,6,79,
2017,Manipur,14,Tamenglong,258,Tamenglong,3,0,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,15,
2017,Karnataka,29,Dakshina Kannada,534,Mangaluru City,16,2,9,169,0,0,0,4,1,5,69,0,6,8,156,128,44,0,0,2,12,1,0,0,52,0,13,48,0,0,0,36,2,1,1,27,22,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,1,38,0,0,0,40,0,0,13,122,99,32,91,4,54,1,17,0,11,0,4,0,0,0,0,18,1,0,0,27,96,8,0,0,0,0,160,337,617,17,0,0,5,0,42,10,20,52,0,113,6,33,
2017,Karnataka,29,Mysuru,545,Mysuru City,22,4,18,114,0,2,5,0,4,11,45,0,5,6,102,240,39,15,0,2,13,0,0,0,0,0,6,79,0,0,0,11,16,0,3,92,9,0,0,0,2,0,0,0,1,0,0,0,13,1,0,0,0,0,0,4,0,0,0,0,0,0,7,6,8,5,7,0,8,0,0,0,0,5,319,152,15,97,10,63,3,3,0,5,0,7,0,0,0,0,0,0,0,0,10,216,12,0,0,0,0,0,323,325,3,1,0,3,0,8,1,36,29,0,47,4,24,
2017,Karnataka,29,Mysuru,545,Mysuru District,53,5,25,322,0,0,0,1,6,7,77,2,7,2,250,525,62,0,0,14,20,0,0,0,19,0,38,154,0,0,0,55,26,15,20,57,6,0,0,2,1,0,0,4,0,0,0,0,9,0,1,0,0,0,2,0,2,5,0,0,0,0,0,0,68,0,0,0,0,0,163,1,0,45,169,137,29,175,0,19,2,13,0,4,0,8,0,0,0,0,0,0,0,0,0,106,9,33,8,0,0,1081,0,0,1,0,0,14,0,17,12,72,72,0,221,1,38,
2017,Karnataka,29,Raichur,546,Raichur,42,1,33,243,0,0,0,8,3,12,55,0,0,0,0,306,33,227,0,11,61,0,0,7,0,0,45,201,0,0,0,5,4,0,2,15,16,0,0,2,1,0,0,2,4,0,0,0,12,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,60,0,0,0,0,0,163,1,0,7,84,47,19,66,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,110,5,1,4,0,12,0,300,149,4,0,0,12,0,8,12,46,133,0,47,1,22,
2017,Karnataka,29,Bengaluru Urban,525,K.Railways,17,0,0,9,0,0,0,0,0,4,4,0,2,13,22,0,4,0,5,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,1489,1,0,0,90,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0,1,0,3,0,10,
2017,Karnataka,29,Ramanagara,631,Ramanagara,42,1,50,337,0,0,0,1,9,9,55,1,19,3,16,443,38,0,0,0,29,0,0,0,23,0,16,127,0,0,0,24,22,0,4,76,12,0,0,7,0,0,0,7,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,34,0,25,0,0,0,47,0,0,9,240,291,55,131,5,47,1,10,0,42,0,14,0,0,0,0,0,0,0,0,0,131,23,0,0,0,0,130,1015,215,2,0,0,1,0,12,6,68,55,0,76,1,23,
2017,Karnataka,29,Shivamogga,547,Shimoga,44,9,23,295,0,0,0,6,1,3,112,0,6,9,47,718,81,0,0,8,26,0,0,9,16,0,17,288,0,0,0,74,69,2,10,91,8,0,0,0,1,0,0,1,1,0,0,0,19,0,1,0,1,0,1,0,0,0,0,32,1,0,1,2,63,0,40,0,0,0,108,0,0,18,202,189,42,216,9,70,3,10,0,6,3,6,0,0,0,0,0,0,1,0,0,176,11,0,2,0,0,123,867,433,1,0,0,17,0,18,27,78,191,0,216,5,37,
2017,Karnataka,29,Tumakuru,548,Tumakuru,44,3,56,564,0,0,0,20,8,4,62,0,7,9,454,109,0,0,0,0,54,0,0,63,13,0,10,43,0,0,0,10,14,3,1,0,48,0,0,2,0,21,0,0,0,0,0,0,17,1,0,0,2,0,0,1,0,2,0,4,0,0,7,0,38,0,0,0,0,0,97,1,0,15,211,157,22,119,5,48,4,14,0,18,0,12,0,0,0,0,1,0,0,0,0,164,24,1,0,0,0,232,403,1058,1,0,0,5,0,24,14,79,36,0,113,5,48,
2017,Karnataka,29,Udupi,549,Udupi,12,0,6,220,0,0,1,2,2,0,14,0,1,0,118,113,7,0,0,6,14,0,0,2,0,0,4,76,0,0,2,15,16,0,3,19,9,6,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,19,0,25,0,0,0,26,0,0,7,37,66,10,69,3,27,0,6,0,0,0,19,0,0,0,0,0,1,0,0,0,98,7,0,0,0,0,124,383,581,0,0,0,2,0,7,5,33,31,0,71,2,37,
2017,Karnataka,29,Uttara Kannada,550,Uttara Kannada,20,0,22,222,0,0,0,3,0,3,41,0,1,0,173,180,54,17,0,2,34,0,0,0,0,0,5,107,0,0,0,10,30,0,3,30,1,0,0,0,1,0,0,1,0,0,0,0,11,0,0,0,0,0,34,0,0,1,0,0,1,0,3,0,30,2,52,0,0,0,85,0,0,3,50,103,19,105,1,16,0,7,0,1,0,36,0,0,0,0,0,6,2,0,6,70,0,0,0,0,0,97,465,428,2,0,0,76,0,8,10,24,30,0,50,7,39,
2017,Karnataka,29,Yadgir,635,Yadgiri,27,2,5,134,0,0,0,2,3,4,34,1,1,1,19,121,10,2,0,8,26,0,0,0,19,0,8,124,3,0,0,6,2,0,1,6,2,0,0,3,7,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,30,3,10,0,0,0,58,0,0,4,35,128,6,31,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,27,1,0,0,0,0,23,20,237,5,0,0,7,0,4,5,13,50,0,4,0,37,
2017,Karnataka,29,Belagavi,527,Belagavi City,18,0,14,130,0,0,0,12,0,7,57,1,1,4,0,123,31,2,0,2,26,0,0,4,6,0,2,41,0,0,0,4,2,0,5,18,9,0,0,1,3,8,0,5,2,0,0,0,5,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,79,18,0,5,147,88,43,148,2,45,0,8,0,3,1,5,0,0,0,0,1,0,4,0,0,109,3,0,2,0,0,54,47,437,7,0,0,4,0,15,8,11,44,0,73,1,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Karnataka,29,Bagalkote,524,Bagalkot,35,3,30,311,0,0,0,6,2,9,52,1,1,0,6,108,28,0,0,4,23,0,0,1,0,0,9,73,0,0,1,2,95,2,2,13,9,0,0,0,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,22,10,20,0,0,0,37,0,0,7,60,43,13,51,0,12,1,5,0,4,0,5,0,0,0,0,2,4,0,0,0,93,6,55,0,0,1,46,33,431,4,1,0,9,0,5,4,18,19,0,23,2,97,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru City,218,32,142,521,0,1,3,137,53,116,606,1,19,38,782,2161,204,43,3,61,197,2,0,16,90,1,65,503,20,3,8,124,75,20,76,949,55,0,1,42,2,23,0,18,8,1,0,0,106,0,2,0,0,0,0,0,2,11,0,0,2,1,15,1,63,9,46,0,4,6,98,4,0,57,5441,3944,451,1126,183,949,59,53,0,402,1,168,2,0,2,0,12,51,13,22,421,2504,48,91,62,0,1,649,1247,2052,239,4,3,12,0,150,75,426,410,1,593,83,975,
2018,Himachal Pradesh,2,Shimla,23,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Karnataka,29,Bengaluru Urban,525,Bengaluru District,73,1,27,609,0,0,0,10,10,27,101,0,7,5,436,0,42,0,0,0,27,0,0,47,0,0,9,0,39,55,0,56,0,0,0,27,114,0,0,18,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,33,26,10,3,0,0,0,0,38,69,0,0,0,1,0,1,0,11,520,294,80,213,0,68,0,20,0,24,0,15,0,0,0,0,1,0,0,0,0,298,23,21,1,0,0,0,1545,138,23,0,0,0,0,9,10,99,66,0,85,0,21,
2018,Karnataka,29,Belagavi,527,Belagavi District,64,1,60,544,0,0,0,13,3,26,112,1,2,6,48,274,35,0,0,10,107,0,0,4,27,0,13,129,0,0,0,11,97,1,1,16,41,0,0,0,4,1,0,4,0,0,0,0,23,0,0,0,0,0,1,0,0,11,3,25,0,0,1,4,78,25,40,0,0,0,127,3,0,8,202,117,19,169,2,33,0,6,0,4,0,14,0,0,0,0,1,0,1,1,1,103,14,50,9,0,4,48,97,1230,1,0,0,14,0,10,16,42,103,0,101,2,9,
2018,Karnataka,29,Ballari,528,Ballari,30,0,35,274,0,0,0,5,9,11,71,2,6,3,108,156,26,0,0,1,20,1,0,5,54,0,14,126,0,0,0,13,4,0,1,57,22,0,0,1,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,4,9,0,4,1,0,0,0,89,0,11,0,0,0,21,0,0,5,146,102,25,108,0,27,1,3,0,1,0,16,0,0,0,0,0,0,0,0,0,156,11,43,12,0,0,89,574,27,2,0,0,7,0,8,5,33,39,0,28,1,27,
2018,Karnataka,29,Bidar,529,Bidar,43,3,38,231,0,1,1,6,9,13,70,10,1,6,143,552,44,0,1,5,52,0,0,4,0,0,14,76,2,0,0,0,1,0,5,4,22,1,0,1,13,9,0,1,0,0,0,0,9,1,0,0,1,0,1,0,0,6,0,0,1,0,6,2,47,8,70,0,5,0,5,0,0,23,125,81,21,92,2,30,0,9,0,2,0,13,0,0,0,0,1,7,1,0,5,30,6,22,4,0,0,93,301,624,7,0,1,15,0,12,16,69,88,1,41,5,77,
2018,Karnataka,29,Vijayapura,530,Vijayapura,66,1,33,340,0,0,0,10,2,16,85,0,2,5,226,0,0,0,2,0,64,0,0,27,58,0,6,87,0,0,0,8,12,0,2,35,5,0,0,0,1,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,5,13,49,0,0,15,26,36,15,36,0,0,0,11,2,0,6,126,115,13,102,0,24,0,4,0,9,0,4,1,0,0,0,1,0,0,0,0,50,7,27,4,0,0,0,0,639,13,0,0,12,0,9,6,14,79,0,25,0,24,
2018,Karnataka,29,Chikkaballapura,630,Chikkaballapura,33,1,30,229,0,0,0,12,2,16,42,0,5,11,0,374,31,0,0,0,21,1,0,0,0,0,8,10,0,0,0,17,22,0,4,39,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,39,20,40,0,0,0,57,0,0,5,72,78,12,60,0,10,0,3,0,3,0,29,0,0,0,0,1,0,0,0,0,85,18,62,7,0,0,10,366,79,0,0,0,2,0,8,9,31,20,0,49,0,9,
